timestamp,date,provider,model,input_tokens,output_tokens,cost_usd
2026-01-24T02:24:38.058212,2026-01-24,mistral,mistral-large-latest,226,0,0.000452
2026-01-24T02:24:38.996897,2026-01-24,mistral,mistral-large-latest,229,0,0.000458
2026-01-24T02:24:39.945088,2026-01-24,mistral,mistral-large-latest,237,0,0.000474
2026-01-24T02:24:41.043409,2026-01-24,mistral,mistral-large-latest,235,0,0.000470
2026-01-24T02:24:42.178054,2026-01-24,mistral,mistral-large-latest,338,0,0.000676
2026-01-24T02:24:43.016570,2026-01-24,mistral,mistral-large-latest,233,0,0.000466
2026-01-24T02:24:44.450361,2026-01-24,mistral,mistral-large-latest,209,0,0.000418
2026-01-24T02:24:45.318513,2026-01-24,mistral,mistral-large-latest,192,0,0.000384
2026-01-24T02:24:46.189379,2026-01-24,mistral,mistral-large-latest,228,0,0.000456
2026-01-24T02:24:47.288358,2026-01-24,mistral,mistral-large-latest,239,0,0.000478
2026-01-24T02:24:48.419711,2026-01-24,mistral,mistral-large-latest,228,0,0.000456
2026-01-24T02:24:49.338981,2026-01-24,mistral,mistral-large-latest,228,0,0.000456
2026-01-24T02:24:50.288060,2026-01-24,mistral,mistral-large-latest,236,0,0.000472
2026-01-24T02:24:51.155644,2026-01-24,mistral,mistral-large-latest,250,0,0.000500
2026-01-24T02:24:52.059207,2026-01-24,mistral,mistral-large-latest,228,0,0.000456
2026-01-24T02:24:52.948376,2026-01-24,mistral,mistral-large-latest,254,0,0.000508
2026-01-24T02:24:53.823576,2026-01-24,mistral,mistral-large-latest,234,0,0.000468
2026-01-24T02:24:54.661271,2026-01-24,mistral,mistral-large-latest,239,0,0.000478
2026-01-24T02:24:55.882155,2026-01-24,mistral,mistral-large-latest,249,0,0.000498
2026-01-24T02:24:57.006979,2026-01-24,mistral,mistral-large-latest,245,0,0.000490
2026-01-24T02:24:58.151723,2026-01-24,mistral,mistral-large-latest,239,0,0.000478
2026-01-24T02:24:59.011017,2026-01-24,mistral,mistral-large-latest,261,0,0.000522
2026-01-24T02:24:59.889406,2026-01-24,mistral,mistral-large-latest,236,0,0.000472
2026-01-24T02:25:00.889037,2026-01-24,mistral,mistral-large-latest,235,0,0.000470
2026-01-24T02:25:03.916222,2026-01-24,mistral,mistral-large-latest,257,0,0.000514
2026-01-24T02:25:04.777077,2026-01-24,mistral,mistral-large-latest,235,0,0.000470
2026-01-24T02:25:05.633720,2026-01-24,mistral,mistral-large-latest,242,0,0.000484
2026-01-24T02:25:06.539085,2026-01-24,mistral,mistral-large-latest,251,0,0.000502
2026-01-24T02:25:07.420039,2026-01-24,mistral,mistral-large-latest,271,0,0.000542
2026-01-24T02:25:08.311697,2026-01-24,mistral,mistral-large-latest,259,0,0.000518
2026-01-24T02:25:09.440102,2026-01-24,mistral,mistral-large-latest,255,0,0.000510
2026-01-24T02:25:10.344670,2026-01-24,mistral,mistral-large-latest,253,0,0.000506
2026-01-24T02:25:11.224980,2026-01-24,mistral,mistral-large-latest,243,0,0.000486
2026-01-24T02:25:12.098379,2026-01-24,mistral,mistral-large-latest,240,0,0.000480
2026-01-24T02:25:12.966991,2026-01-24,mistral,mistral-large-latest,256,0,0.000512
2026-01-24T02:25:13.853976,2026-01-24,mistral,mistral-large-latest,249,0,0.000498
2026-01-24T02:25:14.751023,2026-01-24,mistral,mistral-large-latest,250,0,0.000500
2026-01-24T02:25:15.658521,2026-01-24,mistral,mistral-large-latest,248,0,0.000496
2026-01-24T02:25:16.489027,2026-01-24,mistral,mistral-large-latest,234,0,0.000468
2026-01-24T02:25:17.336978,2026-01-24,mistral,mistral-large-latest,241,0,0.000482
2026-01-24T02:25:18.448727,2026-01-24,mistral,mistral-large-latest,240,0,0.000480
2026-01-24T02:25:19.454712,2026-01-24,mistral,mistral-large-latest,215,0,0.000430
2026-01-24T02:25:22.787391,2026-01-24,mistral,mistral-large-latest,239,0,0.000478
2026-01-24T02:25:23.683953,2026-01-24,mistral,mistral-large-latest,276,0,0.000552
2026-01-24T02:25:24.614253,2026-01-24,mistral,mistral-large-latest,259,0,0.000518
2026-01-24T02:25:25.473386,2026-01-24,mistral,mistral-large-latest,257,0,0.000514
2026-01-24T02:25:26.410695,2026-01-24,mistral,mistral-large-latest,251,0,0.000502
2026-01-24T02:25:27.357782,2026-01-24,mistral,mistral-large-latest,266,0,0.000532
2026-01-24T02:25:28.200725,2026-01-24,mistral,mistral-large-latest,230,0,0.000460
